"filename", "language", "Markdown", "JSON", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\README.md", "Markdown", 340, 0, 0, 0, 0, 0, 70, 410
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\firebase.json", "JSON", 0, 57, 0, 0, 0, 0, 1, 58
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\package-lock.json", "JSON", 0, 8116, 0, 0, 0, 0, 1, 8117
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\package.json", "JSON", 0, 138, 0, 0, 0, 0, 1, 139
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\command-test.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\css\animations.css", "PostCSS", 0, 0, 0, 981, 0, 24, 82, 1087
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\css\components.css", "PostCSS", 0, 0, 0, 388, 0, 15, 56, 459
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\css\main.css", "PostCSS", 0, 0, 0, 507, 0, 33, 59, 599
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\css\particles.css", "PostCSS", 0, 0, 0, 305, 0, 18, 34, 357
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\debug.html", "HTML", 0, 0, 165, 0, 0, 0, 25, 190
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\game-test.html", "HTML", 0, 0, 168, 0, 0, 0, 15, 183
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\index.html", "HTML", 0, 0, 63, 0, 0, 10, 8, 81
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\api\KickWebSocketAPI.js", "JavaScript", 0, 0, 0, 0, 382, 88, 91, 561
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\classes\AvatarManager.js", "JavaScript", 0, 0, 0, 0, 303, 111, 96, 510
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\classes\GameManager.js", "JavaScript", 0, 0, 0, 0, 424, 96, 101, 621
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\classes\UserAvatar.js", "JavaScript", 0, 0, 0, 0, 333, 153, 118, 604
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\components\LoadingScreen.js", "JavaScript", 0, 0, 0, 0, 354, 94, 94, 542
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\components\Stats.js", "JavaScript", 0, 0, 0, 0, 375, 116, 88, 579
"c:\Users\eyyup\OneDrive\Desktop\KICK\kick-eyzaun\public\js\components\UI.js", "JavaScript", 0, 0, 0, 0, 536, 104, 118, 758
